,focalLength,weight,gonadalWeight,maturityStage,species,Sex
376,39.5,0.5,0.0,2,1,1
377,39.5,0.7,0.0,1,1,1
378,39.2,0.6,0.0,1,1,1
379,40.1,0.8,0.0,4,1,0
380,41.1,0.7,33.23,3,1,0
381,37.9,0.7,0.0,2,1,1
382,37.4,0.5,0.0,2,1,1
383,42.6,1.0,0.0,2,1,1
384,40.0,0.8,0.0,2,1,1
385,43.2,1.0,0.0,2,1,1
386,48.5,1.4,0.0,3,1,1
387,40.5,0.8,0.0,3,1,1
388,41.5,0.8,9.34,1,1,0
389,40.5,0.7,0.0,2,1,1
390,39.0,0.8,18.12,3,1,0
391,40.0,0.9,21.38,3,1,0
392,41.5,0.8,0.0,0,1,0
393,42.0,1.0,0.0,2,1,1
394,40.5,0.9,0.0,3,1,1
395,40.0,0.8,0.0,2,1,1
396,43.2,1.0,0.0,2,1,1
397,48.5,1.4,0.0,3,1,1
398,40.5,0.8,0.0,3,1,1
399,41.5,0.8,9.34,1,1,0
400,40.5,0.7,0.0,2,1,1
401,39.0,0.8,18.12,3,1,0
402,40.0,0.9,21.38,3,1,0
403,41.5,0.8,0.0,0,1,0
404,42.0,1.0,0.0,2,1,1
405,40.5,0.9,0.0,3,1,1
406,40.0,0.8,31.56,3,1,0
407,41.5,0.7,0.0,1,1,1
408,38.0,0.6,0.0,1,1,1
409,40.0,0.8,0.0,1,1,1
410,43.0,0.8,8.68,2,1,0
411,41.5,0.8,0.0,3,1,1
412,40.2,0.7,8.23,2,1,0
413,40.3,0.7,9.75,2,1,0
414,41.0,0.9,27.98,3,1,0
415,41.3,0.8,0.0,3,1,1
416,40.2,0.6,16.53,3,1,0
417,40.5,0.7,0.0,3,1,1
418,41.0,0.9,0.0,2,1,1
419,40.0,0.8,11.49,2,1,0
420,40.5,0.8,13.58,3,1,0
421,41.5,1.8,26.91,3,1,0
422,44.5,1.0,26.95,3,1,0
423,40.0,1.0,14.9,3,1,0
424,38.2,0.96,10.13,1,1,0
425,40.0,1.085,17.04,1,1,0
426,33.0,0.633,6.47,1,1,0
427,39.0,0.975,21.07,2,1,1
428,38.2,0.915,13.34,2,1,1
429,40.0,1.055,21.18,1,1,1
430,38.0,0.83,10.76,1,1,0
431,38.5,0.99,17.18,2,1,1
432,37.0,0.83,16.64,2,1,1
433,39.0,0.925,13.96,1,1,0
434,40.0,1.005,13.22,2,1,1
435,36.0,0.795,16.82,1,1,0
436,36.5,0.78,5.9,0,1,0
437,37.5,0.82,9.49,1,1,1
438,38.0,0.895,12.48,2,1,1
439,39.0,0.905,24.73,3,1,0
440,37.0,0.83,12.74,4,1,0
441,40.0,1.05,14.64,1,1,0
442,38.0,0.955,15.97,1,1,0
443,37.0,0.81,10.57,2,1,1
444,36.5,0.81,28.83,1,1,0
445,38.0,0.915,17.77,3,1,0
446,405.0,1.15,39.92,3,1,0
447,38.0,0.915,11.94,1,1,1
448,40.0,1.09,48.09,3,1,0
449,39.0,0.96,14.17,2,1,1
450,41.0,1.5,42.65,3,1,0
451,39.0,0.9,17.0,3,1,0
452,38.0,0.89,28.3,3,1,0
453,39.2,0.91,12.07,1,1,0
454,34.0,0.68,12.27,4,1,0
455,35.0,0.66,6.27,1,1,0
456,36.0,0.71,8.91,4,1,0
457,37.5,0.81,14.84,1,1,1
458,42.0,0.83,48.3,3,1,0
459,34.6,0.42,3.94,4,1,0
460,38.0,0.84,9.4,4,1,0
461,42.0,1.15,5.1,4,1,0
462,35.2,0.65,9.36,4,1,0
463,37.0,0.73,11.25,4,1,0
464,36.0,0.65,6.55,1,1,1
465,37.8,0.75,17.56,4,1,0
466,35.5,0.705,31.26,4,1,0
467,34.5,0.56,8.11,1,1,1
468,36.8,0.55,9.54,1,1,0
469,39.0,0.63,22.48,1,1,1
470,37.0,0.6,12.85,1,1,1
471,40.5,0.89,15.0,4,1,0
472,37.6,0.42,12.72,1,1,1
473,36.0,0.62,11.3,1,1,0
474,40.5,0.88,11.0,4,1,0
